month,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
January,22,13,32,29,26,13,9,36,16,51,7
February,134,112,45,133,190,35,69,54,114,12,17
March,442,506,271,68,290,367,291,698,82,76,361
April,1486,400,803,202,690,748,823,557,229,140,399
May,275,302,482,401,427,545,102,206,423,153,258
June,284,159,146,537,83,220,200,232,674,141,55
July,163,109,215,1862,325,73,202,473,151,115,0
August,116,148,81,233,96,110,107,663,36,125,0
September,130,52,36,96,103,89,144,187,48,52,0
October,105,84,44,103,15,25,38,48,28,11,0
November,13,81,37,61,16,36,35,23,26,12,0
December,12,33,18,13,18,14,19,18,34,6,0